Chrom	Pos	EnrichmentRatio
Chr01	11181214	0.41934
Chr01	11181049	0.41934
Chr01	10494072	0.51669
Chr01	9351469	0.46229
Chr01	7817102	0.40405
Chr01	10479783	0.5217
Chr01	11956943	0.43175
Chr01	12120821	0.38011
Chr01	10647136	0.45471
Chr01	10462679	0.52796
Chr01	12000252	0.40437
Chr01	8360050	0.46872
Chr01	12000255	0.4044
Chr01	12001032	0.41217
Chr01	10494067	0.51669
Chr01	9238594	0.23386
Chr01	10031166	0.47174
Chr01	9570427	0.30955
Chr01	12001076	0.41261
Chr01	11697642	0.41712
Chr01	10527057	0.47395
Chr01	10873660	0.56676
Chr01	12066043	0.59471
Chr01	12039553	0.55856
