Chrom	Bin-Pos	POP30_88
Chr01	10000	62
Chr01	15000	24
Chr01	30000	37
Chr01	35000	50
Chr01	45000	27
Chr01	50000	33
Chr01	55000	37
Chr01	60000	34
Chr01	65000	47
Chr01	70000	41
Chr01	75000	20
Chr01	80000	22
Chr01	85000	112
Chr01	90000	41
Chr01	95000	52
Chr01	100000	29
Chr01	105000	50
Chr01	110000	30
Chr01	115000	71
Chr01	120000	63
Chr01	125000	20
Chr01	130000	36
Chr01	135000	57
Chr01	140000	46
Chr01	145000	35
Chr01	160000	32
Chr01	165000	38
Chr01	170000	33
Chr01	175000	38
Chr01	185000	57
Chr01	195000	41
Chr01	205000	45
Chr01	210000	21
Chr01	220000	43
Chr01	230000	33
Chr01	235000	21
Chr01	240000	27
Chr01	245000	47
Chr01	250000	15
Chr01	255000	32
Chr01	260000	41
Chr01	265000	49
Chr01	270000	40
Chr01	275000	27
Chr01	280000	36
Chr01	285000	18
Chr01	290000	32
Chr01	295000	25
Chr01	300000	28
Chr01	305000	44
Chr01	310000	33
Chr01	315000	46
Chr01	320000	34
Chr01	325000	15
Chr01	340000	65
Chr01	345000	36
Chr01	350000	10
Chr01	355000	65
Chr01	360000	36
Chr01	365000	41
Chr01	370000	10
Chr01	375000	46
Chr01	380000	22
Chr01	385000	73
Chr01	395000	30
Chr01	400000	56
Chr01	405000	12
Chr01	410000	23
Chr01	415000	29
Chr01	420000	20
Chr01	425000	53
Chr01	430000	30
Chr01	435000	26
Chr01	440000	32
Chr01	445000	33
Chr01	450000	39
Chr01	455000	12
Chr01	460000	36
Chr01	465000	45
Chr01	495000	32
Chr01	500000	54
Chr01	505000	68
Chr01	510000	16
Chr01	520000	39
Chr01	525000	39
Chr01	530000	43
Chr01	535000	35
Chr01	555000	44
Chr01	560000	24
Chr01	565000	19
Chr01	570000	29
Chr01	575000	50
Chr01	580000	65
Chr01	590000	39
Chr01	595000	32
Chr01	600000	45
Chr01	605000	37
Chr01	615000	27
Chr01	620000	34
Chr01	630000	15
Chr01	635000	53
Chr01	640000	41
Chr01	645000	53
Chr01	660000	28
Chr01	665000	43
Chr01	670000	32
Chr01	675000	27
Chr01	680000	38
Chr01	685000	38
Chr01	690000	13
Chr01	695000	11
Chr01	705000	26
Chr01	710000	31
Chr01	725000	24
Chr01	730000	47
Chr01	735000	23
Chr01	750000	33
Chr01	755000	36
Chr01	765000	46
Chr01	770000	23
Chr01	775000	12
Chr01	780000	22
Chr01	785000	58
Chr01	790000	36
Chr01	795000	35
Chr01	800000	38
Chr01	810000	42
Chr01	815000	47
Chr01	820000	50
Chr01	825000	18
Chr01	830000	35
Chr01	835000	49
Chr01	850000	19
Chr01	855000	20
Chr01	860000	42
Chr01	870000	21
Chr01	875000	64
Chr01	895000	46
Chr01	900000	63
Chr01	905000	48
Chr01	910000	45
Chr01	915000	17
Chr01	920000	57
Chr01	935000	38
Chr01	940000	54
Chr01	945000	49
Chr01	950000	61
Chr01	955000	72
Chr01	960000	47
Chr01	985000	10
Chr01	1025000	16
Chr01	1035000	41
Chr01	1045000	49
Chr01	1050000	25
Chr01	1055000	42
Chr01	1060000	27
Chr01	1065000	22
Chr01	1070000	43
Chr01	1080000	48
Chr01	1095000	42
Chr01	1105000	18
Chr01	1125000	12
Chr01	1135000	10
Chr01	1140000	43
Chr01	1150000	21
Chr01	1165000	42
Chr01	1170000	58
Chr01	1175000	32
Chr01	1180000	50
Chr01	1185000	41
Chr01	1190000	56
Chr01	1195000	51
Chr01	1200000	30
Chr01	1210000	66
Chr01	1215000	41
Chr01	1220000	15
Chr01	1225000	21
Chr01	1230000	58
Chr01	1240000	40
Chr01	1245000	21
Chr01	1255000	29
Chr01	1265000	59
Chr01	1300000	15
Chr01	1305000	32
Chr01	1310000	24
Chr01	1325000	30
Chr01	1340000	17
Chr01	1345000	42
Chr01	1350000	17
Chr01	1360000	27
Chr01	1365000	52
Chr01	1375000	43
Chr01	1385000	10
Chr01	1390000	54
Chr01	1395000	17
Chr01	1405000	61
Chr01	1410000	25
Chr01	1415000	39
Chr01	1420000	56
Chr01	1425000	17
Chr01	1430000	40
Chr01	1435000	16
Chr01	1440000	15
Chr01	1445000	12
Chr01	1465000	44
Chr01	1510000	27
Chr01	1525000	43
Chr01	1530000	20
Chr01	1540000	33
Chr01	1545000	60
Chr01	1555000	38
Chr01	1565000	67
Chr01	1570000	55
Chr01	1580000	38
Chr01	1585000	45
Chr01	1590000	46
Chr01	1595000	36
Chr01	1600000	10
Chr01	1605000	39
Chr01	1610000	51
Chr01	1615000	47
Chr01	1620000	39
Chr01	1630000	50
Chr01	1635000	41
Chr01	1640000	22
Chr01	1645000	22
Chr01	1655000	27
Chr01	1700000	34
Chr01	1710000	30
Chr01	1720000	42
Chr01	1725000	48
Chr01	1730000	43
Chr01	1735000	12
Chr01	1740000	29
Chr01	1755000	13
Chr01	1760000	30
Chr01	1765000	20
Chr01	1770000	28
Chr01	1775000	29
Chr01	1780000	13
Chr01	1785000	41
Chr01	1790000	54
Chr01	1795000	42
Chr01	1800000	58
Chr01	1805000	22
Chr01	1810000	45
Chr01	1815000	22
Chr01	1820000	55
Chr01	1825000	52
Chr01	1830000	26
Chr01	1835000	29
Chr01	1840000	23
Chr01	1845000	51
Chr01	1850000	49
Chr01	1860000	13
Chr01	1865000	46
Chr01	1875000	60
Chr01	1880000	35
Chr01	1890000	43
Chr01	1905000	24
Chr01	1910000	35
Chr01	1920000	40
Chr01	1930000	42
Chr01	1935000	21
Chr01	1940000	56
Chr01	1945000	62
Chr01	1955000	38
Chr01	1960000	36
Chr01	1965000	44
Chr01	1975000	53
Chr01	1980000	44
Chr01	1990000	31
Chr01	1995000	21
Chr01	2045000	43
Chr01	2050000	45
Chr01	2060000	45
Chr01	2065000	45
Chr01	2070000	21
Chr01	2085000	33
Chr01	2090000	47
Chr01	2095000	50
Chr01	2100000	15
Chr01	2105000	45
Chr01	2110000	42
Chr01	2115000	35
Chr01	2120000	26
Chr01	2125000	42
Chr01	2135000	24
Chr01	2140000	46
Chr01	2145000	47
Chr01	2150000	33
Chr01	2160000	21
Chr01	2165000	49
Chr01	2170000	59
Chr01	2175000	41
Chr01	2185000	34
Chr01	2195000	20
Chr01	2200000	39
Chr01	2205000	13
Chr01	2210000	48
Chr01	2215000	46
Chr01	2220000	41
Chr01	2225000	47
Chr01	2230000	13
Chr01	2235000	48
Chr01	2240000	40
Chr01	2245000	41
Chr01	2250000	37
Chr01	2255000	10
Chr01	2260000	64
Chr01	2265000	56
Chr01	2270000	46
Chr01	2275000	54
Chr01	2280000	45
Chr01	2285000	21
Chr01	2290000	61
Chr01	2300000	30
Chr01	2305000	34
Chr01	2310000	16
Chr01	2320000	35
Chr01	2325000	29
Chr01	2330000	59
Chr01	2335000	46
Chr01	2340000	45
Chr01	2350000	38
Chr01	2355000	22
Chr01	2360000	26
Chr01	2365000	60
Chr01	2370000	65
Chr01	2375000	22
Chr01	2380000	23
Chr01	2390000	44
Chr01	2395000	37
Chr01	2405000	19
Chr01	2410000	31
Chr01	2425000	57
Chr01	2430000	35
Chr01	2435000	62
Chr01	2440000	32
Chr01	2445000	14
Chr01	2455000	54
Chr01	2460000	43
Chr01	2465000	41
Chr01	2475000	28
Chr01	2480000	52
Chr01	2485000	66
Chr01	2490000	42
Chr01	2495000	41
Chr01	2505000	46
Chr01	2515000	52
Chr01	2520000	44
Chr01	2525000	40
Chr01	2530000	48
Chr01	2535000	56
Chr01	2540000	49
Chr01	2545000	47
Chr01	2550000	16
Chr01	2555000	65
Chr01	2565000	43
Chr01	2570000	26
Chr01	2575000	48
Chr01	2580000	30
Chr01	2585000	39
Chr01	2595000	14
Chr01	2605000	35
Chr01	2615000	38
Chr01	2625000	30
Chr01	2630000	53
Chr01	2635000	25
Chr01	2640000	23
Chr01	2645000	19
Chr01	2650000	35
Chr01	2655000	35
Chr01	2660000	47
Chr01	2665000	33
Chr01	2670000	41
Chr01	2675000	43
Chr01	2680000	19
Chr01	2685000	18
Chr01	2690000	44
Chr01	2695000	21
Chr01	2700000	42
Chr01	2875000	15
Chr01	2890000	28
Chr01	2925000	10
Chr01	2930000	14
Chr01	2955000	13
Chr01	2970000	49
Chr01	2975000	51
Chr01	2985000	21
Chr01	3005000	39
Chr01	3010000	72
Chr01	3015000	60
Chr01	3020000	37
Chr01	3030000	38
Chr01	3035000	52
Chr01	3040000	17
Chr01	3050000	48
Chr01	3055000	45
Chr01	3060000	66
Chr01	3075000	43
Chr01	3080000	31
Chr01	3085000	14
Chr01	3090000	52
Chr01	3095000	33
Chr01	3100000	27
Chr01	3105000	57
Chr01	3110000	38
Chr01	3115000	26
Chr01	3125000	44
Chr01	3130000	45
Chr01	3135000	43
Chr01	3140000	43
Chr01	3145000	49
Chr01	3150000	36
Chr01	3155000	47
Chr01	3160000	48
Chr01	3165000	29
Chr01	3170000	20
Chr01	3180000	52
Chr01	3185000	25
Chr01	3190000	33
Chr01	3195000	59
Chr01	3205000	16
Chr01	3210000	37
Chr01	3215000	14
Chr01	3225000	33
Chr01	3230000	34
Chr01	3240000	37
Chr01	3245000	48
Chr01	3285000	25
Chr01	3290000	10
Chr01	3395000	74
Chr01	3400000	21
Chr01	3410000	27
Chr01	3430000	11
Chr01	3435000	10
Chr01	3460000	14
Chr01	3465000	46
Chr01	3470000	45
Chr01	3480000	44
Chr01	3490000	49
Chr01	3495000	42
Chr01	3500000	36
Chr01	3505000	34
Chr01	3510000	47
Chr01	3515000	47
Chr01	3520000	50
Chr01	3525000	34
Chr01	3530000	37
Chr01	3540000	10
Chr01	3545000	60
Chr01	3555000	29
Chr01	3560000	46
Chr01	3570000	19
Chr01	3580000	41
Chr01	3590000	25
Chr01	3595000	43
Chr01	3605000	32
Chr01	3615000	15
Chr01	3630000	13
Chr01	3650000	68
Chr01	3655000	23
Chr01	3670000	15
Chr01	3690000	19
Chr01	3695000	15
Chr01	3700000	24
Chr01	3710000	19
Chr01	3720000	17
Chr01	3725000	17
Chr01	3730000	24
Chr01	3735000	27
Chr01	3740000	19
Chr01	3745000	41
Chr01	3750000	52
Chr01	3755000	24
Chr01	3760000	38
Chr01	3770000	27
Chr01	3775000	21
Chr01	3785000	24
Chr01	3790000	40
Chr01	3800000	64
Chr01	3805000	64
Chr01	3810000	15
Chr01	3820000	47
Chr01	3825000	79
Chr01	3830000	19
Chr01	3835000	30
Chr01	3840000	46
Chr01	3845000	59
Chr01	3850000	51
Chr01	3855000	29
Chr01	3860000	62
Chr01	3870000	48
Chr01	3875000	41
Chr01	3880000	40
Chr01	3885000	63
Chr01	3890000	39
Chr01	3895000	49
Chr01	3900000	52
Chr01	3910000	27
Chr01	3920000	31
Chr01	3925000	51
Chr01	3930000	101
Chr01	3940000	89
Chr01	3945000	26
Chr01	3955000	52
Chr01	3960000	119
Chr01	3970000	30
Chr01	3975000	22
Chr01	3980000	53
Chr01	3985000	46
Chr01	3990000	22
Chr01	3995000	36
Chr01	4000000	58
Chr01	4005000	43
Chr01	4010000	23
Chr01	4020000	45
Chr01	4025000	31
Chr01	4035000	17
Chr01	4040000	48
Chr01	4045000	21
Chr01	4050000	29
Chr01	4065000	15
Chr01	4070000	34
Chr01	4075000	48
Chr01	4080000	25
Chr01	4085000	16
Chr01	4090000	40
Chr01	4095000	39
Chr01	4100000	63
Chr01	4105000	58
Chr01	4110000	44
Chr01	4115000	52
Chr01	4125000	39
Chr01	4135000	48
Chr01	4145000	44
Chr01	4155000	21
Chr01	4160000	22
Chr01	4165000	37
Chr01	4170000	32
Chr01	4175000	65
Chr01	4180000	43
Chr01	4185000	45
Chr01	4190000	30
Chr01	4195000	48
Chr01	4200000	37
Chr01	4205000	34
Chr01	4210000	47
Chr01	4215000	67
Chr01	4220000	24
Chr01	4225000	41
Chr01	4230000	50
Chr01	4235000	50
Chr01	4245000	45
Chr01	4250000	18
Chr01	4260000	12
Chr01	4265000	10
Chr01	4270000	40
Chr01	4300000	45
Chr01	4310000	28
Chr01	4315000	33
Chr01	4325000	19
Chr01	4330000	62
Chr01	4335000	48
Chr01	4340000	51
Chr01	4345000	33
Chr01	4350000	30
Chr01	4360000	24
Chr01	4365000	38
Chr01	4370000	47
Chr01	4375000	14
Chr01	4380000	37
Chr01	4385000	55
Chr01	4390000	38
Chr01	4400000	40
Chr01	4405000	18
Chr01	4410000	58
Chr01	4415000	39
Chr01	4420000	42
Chr01	4425000	962
Chr01	4435000	44
Chr01	4440000	27
Chr01	4445000	25
Chr01	4450000	22
Chr01	4455000	15
Chr01	4480000	47
Chr01	4490000	11
Chr01	4495000	46
Chr01	4500000	39
Chr01	4505000	24
Chr01	4510000	19
Chr01	4515000	12
Chr01	4520000	47
Chr01	4525000	46
Chr01	4530000	53
Chr01	4535000	39
Chr01	4545000	31
Chr01	4560000	31
Chr01	4570000	20
Chr01	4580000	42
Chr01	4585000	23
Chr01	4595000	45
Chr01	4605000	38
Chr01	4610000	15
Chr01	4615000	40
Chr01	4625000	27
Chr01	4630000	11
Chr01	4635000	70
Chr01	4640000	18
Chr01	4645000	16
Chr01	4650000	40
Chr01	4655000	65
Chr01	4660000	22
Chr01	4665000	27
Chr01	4675000	28
Chr01	4680000	41
Chr01	4685000	48
Chr01	4690000	50
Chr01	4695000	20
Chr01	4705000	40
Chr01	4710000	46
Chr01	4720000	40
Chr01	4725000	37
Chr01	4735000	15
Chr01	4740000	33
Chr01	4745000	14
Chr01	4750000	49
Chr01	4755000	51
Chr01	4760000	30
Chr01	4765000	35
Chr01	4770000	16
Chr01	4775000	29
